year,county_town,HH_num,incm_sum,incm_mean,county,town,incm_med,incm_1st,incm_3rd,incm_std,incm_cv,key,county107,town107
2000,嘉義縣六腳鄉,4267,2498709,586,嘉義縣,六腳鄉,483,302,744,445.98001,76.160004,嘉義六腳,嘉義縣,六腳鄉
2000,嘉義縣大埔鄉,443,222558,502,嘉義縣,大埔鄉,392,262,609,435.44,86.669998,嘉義大埔,嘉義縣,大埔鄉
2000,嘉義縣大林鎮,6429,4019175,625,嘉義縣,大林鎮,508,304,812,507.44,81.169998,嘉義大林,嘉義縣,大林鎮
2000,嘉義縣太保市,5715,3616199,633,嘉義縣,太保市,515,314,797,549.37,86.82,嘉義太保,嘉義縣,太保市
2000,嘉義縣布袋鎮,5298,3025857,571,嘉義縣,布袋鎮,459,287,729,491.20999,86.010002,嘉義布袋,嘉義縣,布袋鎮
2000,嘉義縣新港鄉,6158,3691553,599,嘉義縣,新港鄉,487,295,753,586.12,97.769997,嘉義新港,嘉義縣,新港鄉
2000,嘉義縣朴子市,7704,4997521,649,嘉義縣,朴子市,510,307,821,569.25,87.75,嘉義朴子,嘉義縣,朴子市
2000,嘉義市東區,27689,23459743,847,嘉義市,東區,625,364,1044,1089.24,128.56,嘉義東,嘉義市,東區
2000,嘉義縣東石鄉,4007,2087412,521,嘉義縣,東石鄉,437,269,662,410.39999,78.779999,嘉義東石,嘉義縣,東石鄉
2000,嘉義縣梅山鄉,3055,1764442,578,嘉義縣,梅山鄉,474,279,741,453.97,78.599998,嘉義梅山,嘉義縣,梅山鄉
2000,嘉義縣民雄鄉,13386,8757076,654,嘉義縣,民雄鄉,523,317,823,624.09998,95.400002,嘉義民雄,嘉義縣,民雄鄉
2000,嘉義縣水上鄉,9810,6009689,613,嘉義縣,水上鄉,500,304,779,597.09003,97.470001,嘉義水上,嘉義縣,水上鄉
2000,嘉義縣溪口鄉,3200,1699733,531,嘉義縣,溪口鄉,447,267,685,409.89999,77.169998,嘉義溪口,嘉義縣,溪口鄉
2000,嘉義縣番路鄉,1628,958519,589,嘉義縣,番路鄉,469,278,749,606.02002,102.93,嘉義番路,嘉義縣,番路鄉
2000,嘉義縣竹崎鄉,5960,3572288,599,嘉義縣,竹崎鄉,477,291,746,609.03998,101.61,嘉義竹崎,嘉義縣,竹崎鄉
2000,嘉義縣義竹鄉,3804,2245003,590,嘉義縣,義竹鄉,486,299,747,466.70999,79.080002,嘉義義竹,嘉義縣,義竹鄉
